City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
267,Manhattan,US,81.63,clear sky,40.7834,-73.9662,The Mark Hotel
269,Truth Or Consequences,US,82.63,clear sky,33.1284,-107.2528,Charles Hot Springs
274,Arshan,RU,84.58,clear sky,46.2732,44.22,Guest House The Green Village
279,Saint George,US,79.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
286,Yarada,IN,88.12,haze,17.65,83.2667,Yarada Jungle Beach Resorts
289,Karratha,AU,76.39,clear sky,-20.7377,116.8463,ibis Styles Karratha
292,Beyneu,KZ,89.2,clear sky,45.3167,55.2,NUR
298,Akyab,MM,83.98,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
300,Tautira,PF,77.07,light rain,-17.7333,-149.15,Pension Oaoa
303,Malakal,SS,76.8,scattered clouds,9.5334,31.6605,Nile Palace Hotel
307,Cuiluan,CN,76.26,overcast clouds,47.72,128.648,Shuncheng Hotel
311,Bubaque,GW,77.63,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
323,Chiang Khong,TH,82.24,light rain,20.2613,100.4046,Chiangkhong Green Inn Resident
327,Cockburn Town,TC,82.11,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
329,Gornozavodsk,RU,75.16,few clouds,58.3758,58.3211,Hotel Ural
334,Honiara,SB,83.52,scattered clouds,-9.4333,159.95,Heritage Park Hotel
340,Havelock,US,84.18,broken clouds,34.8791,-76.9013,Sherwood Motel
345,Kieta,PG,82.13,light rain,-6.2167,155.6333,Uruna Bay Retreat
348,Kushmurun,KZ,77.85,clear sky,52.4503,64.6311,Gostinitsa Pri Depo
349,Zhezkazgan,KZ,78.78,clear sky,47.8043,67.7144,Hotel Zumrat
354,Xuddur,SO,76.35,clear sky,4.1213,43.8894,Banjanay Hotel
359,Amahai,ID,81.12,broken clouds,-3.3333,128.9167,HOTEL ISABELA
361,Ginda,IN,75.94,overcast clouds,30.6945,78.4932,Sunil Bisht
363,Nantucket,US,78.94,fog,41.2835,-70.0995,Jared Coffin House
368,Nautla,MX,80.38,clear sky,20.2167,-96.7833,Casa Blanca
369,Umm Lajj,SA,89.87,overcast clouds,25.0213,37.2685,Moon light Furnished Units
372,Mount Isa,AU,89.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
380,Miri,MY,81.9,light rain,4.4148,114.0089,"Mega Hotel, Miri"
384,Port Blair,IN,83.17,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
385,Bandarbeyla,SO,85.19,clear sky,9.4942,50.8122,JABIR HOTEL
388,Ponta Do Sol,PT,75.0,few clouds,32.6667,-17.1,Hotel do Campo
391,Wajima,JP,81.75,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
393,Joshimath,IN,78.19,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
395,Faanui,PF,78.3,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
396,Marawi,PH,75.4,moderate rain,7.9986,124.2928,Derogongan Residence
407,Haikou,CN,86.2,overcast clouds,20.0458,110.3417,Sun City Restaurant
409,Mahon,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
410,Langsa,ID,84.04,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
421,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,hotel la terminal
423,Tecoanapa,MX,77.97,scattered clouds,16.5167,-98.75,Hotel Manglares
424,Petrovskoye,RU,75.36,overcast clouds,57.0104,39.2693,Karoza
429,Una,IN,80.13,light rain,20.8167,71.0333,Hotel Harbhole
432,Salym,RU,79.56,scattered clouds,60.0625,71.4789,Gostinitsa Salym
434,Nezhinka,RU,80.2,clear sky,51.7676,55.3694,"Extreme Park, Holiday Village"
435,Gizo,SB,84.9,broken clouds,-8.103,156.8419,Imagination Island
437,Venice,US,78.98,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
438,Kampot,KH,84.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
440,Emerald,AU,85.33,clear sky,-23.5333,148.1667,The Irish Village
442,Nan,TH,85.68,overcast clouds,18.8333,100.6667,สะเนียน2
443,Balikpapan,ID,81.59,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
444,Salina,US,80.73,clear sky,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
445,Biak,ID,82.6,broken clouds,-0.9131,122.8766,Penginapan Kim
447,Mangrol,IN,78.71,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
448,Tateyama,JP,85.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
454,Namie,JP,76.71,overcast clouds,37.4833,141.0,いこいの村なみえ
455,Rincon,US,82.85,few clouds,32.296,-81.2354,Days Inn Rincon
459,Garissa,KE,76.3,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
467,Koungou,YT,78.51,few clouds,-12.7336,45.2042,Villa Netibor
469,Cam Ranh,VN,89.56,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
471,La Asuncion,VE,75.81,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
473,Maine-Soroa,NE,80.71,broken clouds,13.2114,12.0241,Complexe
475,Jinchang,CN,89.11,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
476,Erenhot,CN,84.4,few clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
